competitor_ai_release_index,warehouse_productivity_gap_pct,security_incidents_count,forecast_error_pct,integration_defects_count,cloud_downtime_minutes,employee_adoption_pct,budget_variance_pct,open_compliance_gaps,bias_reports_count,training_completion_pct,high_loss_event
2,10.962918569574779,0,2.155969951004364,4,7.437393457723701,75.68245516427542,13.289925586582747,1,0,79.02407741094183,0
2,7.273082692534264,0,15.620043783586212,5,41.10056610274885,77.8491237932497,-9.048961346329204,4,0,73.7566084649785,0
2,7.300680241042741,0,6.998813649965176,5,3.376848604227222,74.53796630452176,16.23566044800543,4,1,91.75157327937352,1
2,4.66015885102711,1,12.184239003969553,3,24.56555839567384,92.7996856149092,18.959428296981216,1,0,88.68031270690891,0
1,0.0,1,13.504080169517934,5,19.737945500746864,69.83525932987634,21.375873020692644,1,0,83.80529318725816,0
1,13.25738707238295,0,12.699855925089572,3,3.286219390037754,71.54440264274425,8.466801359041735,1,0,94.80437234141452,0
2,3.4256876239228733,2,7.638054967461517,4,27.614532200122238,84.40665759176147,3.8018426389125457,3,0,83.44895758897137,0
0,9.218470074650487,1,12.405561560445577,3,4.131096798676433,86.56185039870587,17.295896316954575,1,2,93.14630916342901,1
2,0.7423885277958533,0,7.881074555365476,4,24.131443027782396,73.17120401753773,3.398488453251919,3,1,88.48111455919341,0
0,5.655645908145809,0,8.354571834821751,5,22.600887829713532,80.37787197969703,-5.905237150107043,2,0,97.87273018919207,0
3,6.765362489244452,0,6.997020580711314,4,30.498052421965937,86.82058520808513,10.978650010887957,3,1,71.98380963409345,1
1,3.9569970251683046,3,11.457326540027712,7,19.819544195349007,70.2541916135927,3.66758911136922,0,1,83.60167335166626,1
3,12.912882551858896,2,20.921501204366997,3,16.720126167005173,77.31074436985931,12.251907720850852,4,5,76.8653348467477,1
2,7.812523150500165,2,6.968178929009157,4,24.169986150512113,90.17212758833762,-0.8248396335150243,1,1,93.32182606399532,0
0,8.238216943679149,0,20.46328943659537,2,3.0141896397143904,74.8216346824365,17.22469664678065,0,2,87.33970964194086,1
2,0.0,5,11.205641060646455,1,18.59017684930539,100.0,17.370534263372335,2,0,92.371820474343,1
2,8.942955073363327,0,12.034705028725767,3,4.606719827729493,73.62139823825032,16.35306119726969,1,1,82.06656070776121,1
2,12.6614603920539,0,11.641202626407553,2,10.254419914237532,69.16005881576528,9.386458470234967,1,0,80.14246432544334,0
1,0.5204228419911852,3,7.923116337184843,2,14.035368010128757,66.40127522953779,7.86492098089533,3,1,97.53268218894786,1
